Month,Hour,Zone_CAPITL,Zone_CENTRL,Zone_DUNWOD,Zone_GENESE,Zone_HUD VL,Zone_LONGIL,Zone_MHK VL,Zone_MILLWD,Zone_N.Y.C.,Zone_NORTH,Zone_WEST,RTD Actual Load
1,3,False,False,False,False,False,False,False,False,False,False,True,1519.6836662234043
1,3,False,False,False,False,False,False,False,False,False,True,False,705.2015494680851
1,3,False,False,False,False,False,False,False,False,True,False,False,4272.162122606383
1,3,False,False,False,False,False,False,False,True,False,False,False,253.43062872340425
1,3,False,False,False,False,False,False,True,False,False,False,False,774.7934156914893
1,3,False,False,False,False,False,True,False,False,False,False,False,1681.3682640957447
1,3,False,False,False,False,True,False,False,False,False,False,False,910.6985707446808
1,3,False,False,False,True,False,False,False,False,False,False,False,956.3127159574468
1,3,False,False,True,False,False,False,False,False,False,False,False,502.2006026595745
1,3,False,True,False,False,False,False,False,False,False,False,False,1603.5613694148935
1,3,True,False,False,False,False,False,False,False,False,False,False,1155.298955319149
1,4,False,False,False,False,False,False,False,False,False,False,True,1531.1796534574466
1,4,False,False,False,False,False,False,False,False,False,True,False,706.257907180851
1,4,False,False,False,False,False,False,False,False,True,False,False,4276.4627460106385
1,4,False,False,False,False,False,False,False,True,False,False,False,258.49051170212766
1,4,False,False,False,False,False,False,True,False,False,False,False,786.5203127659574
1,4,False,False,False,False,False,True,False,False,False,False,False,1701.351784574468
1,4,False,False,False,False,True,False,False,False,False,False,False,921.2461127659575
1,4,False,False,False,True,False,False,False,False,False,False,False,971.2527710106383
1,4,False,False,True,False,False,False,False,False,False,False,False,503.60080851063833
1,4,False,True,False,False,False,False,False,False,False,False,False,1623.1854343085106
1,4,True,False,False,False,False,False,False,False,False,False,False,1172.6747590425532
1,5,False,False,False,False,False,False,False,False,False,False,True,1577.2983144385028
1,5,False,False,False,False,False,False,False,False,False,True,False,714.4449435828876
1,5,False,False,False,False,False,False,False,False,True,False,False,4418.419029679145
1,5,False,False,False,False,False,False,False,True,False,False,False,271.9067588235294
1,5,False,False,False,False,False,False,True,False,False,False,False,827.7120775401069
1,5,False,False,False,False,False,True,False,False,False,False,False,1778.2323270053475
1,5,False,False,False,False,True,False,False,False,False,False,False,953.550963368984
1,5,False,False,False,True,False,False,False,False,False,False,False,1017.1877061497327
1,5,False,False,True,False,False,False,False,False,False,False,False,523.1168639037434
1,5,False,True,False,False,False,False,False,False,False,False,False,1690.8175879679145
1,5,True,False,False,False,False,False,False,False,False,False,False,1218.0592628342247
1,6,False,False,False,False,False,False,False,False,False,False,True,1662.6011051075268
1,6,False,False,False,False,False,False,False,False,False,True,False,729.1153295698924
1,6,False,False,False,False,False,False,False,False,True,False,False,4754.024691129032
1,6,False,False,False,False,False,False,False,True,False,False,False,296.3488279569892
1,6,False,False,False,False,False,False,True,False,False,False,False,904.1435524193548
1,6,False,False,False,False,False,True,False,False,False,False,False,1921.407822580645
1,6,False,False,False,False,True,False,False,False,False,False,False,1021.2175413978495
1,6,False,False,False,True,False,False,False,False,False,False,False,1091.7481596774194
1,6,False,False,True,False,False,False,False,False,False,False,False,565.8754155913979
1,6,False,True,False,False,False,False,False,False,False,False,False,1815.2981478494623
1,6,True,False,False,False,False,False,False,False,False,False,False,1302.6094561827956
1,7,False,False,False,False,False,False,False,False,False,False,True,1748.1983829015544
1,7,False,False,False,False,False,False,False,False,False,True,False,749.5797165803109
1,7,False,False,False,False,False,False,False,False,True,False,False,5137.739403108808
1,7,False,False,False,False,False,False,False,True,False,False,False,314.0274458549223
1,7,False,False,False,False,False,False,True,False,False,False,False,963.4953331606217
1,7,False,False,False,False,False,True,False,False,False,False,False,2057.1177308290153
1,7,False,False,False,False,True,False,False,False,False,False,False,1084.4504712435232
1,7,False,False,False,True,False,False,False,False,False,False,False,1161.9155142487048
1,7,False,False,True,False,False,False,False,False,False,False,False,611.9267888601037
1,7,False,True,False,False,False,False,False,False,False,False,False,1926.2391585492226
1,7,True,False,False,False,False,False,False,False,False,False,False,1382.5929611398965
1,8,False,False,False,False,False,False,False,False,False,False,True,1782.5821611253198
1,8,False,False,False,False,False,False,False,False,False,True,False,759.5835503836317
1,8,False,False,False,False,False,False,False,False,True,False,False,5388.400970588235
1,8,False,False,False,False,False,False,False,True,False,False,False,321.7527199488491
1,8,False,False,False,False,False,False,True,False,False,False,False,979.5465565217391
1,8,False,False,False,False,False,True,False,False,False,False,False,2101.973584910486
1,8,False,False,False,False,True,False,False,False,False,False,False,1105.0352984654733
1,8,False,False,False,True,False,False,False,False,False,False,False,1187.4993959079284
1,8,False,False,True,False,False,False,False,False,False,False,False,631.0725989769821
1,8,False,True,False,False,False,False,False,False,False,False,False,1960.7560677749361
1,8,True,False,False,False,False,False,False,False,False,False,False,1410.732554219949
1,9,False,False,False,False,False,False,False,False,False,False,True,1802.17855066313
1,9,False,False,False,False,False,False,False,False,False,True,False,762.66515331565
1,9,False,False,False,False,False,False,False,False,True,False,False,5558.2537822281165
1,9,False,False,False,False,False,False,False,True,False,False,False,321.64433580901857
1,9,False,False,False,False,False,False,True,False,False,False,False,976.9047352785145
1,9,False,False,False,False,False,True,False,False,False,False,False,2109.4509633952257
1,9,False,False,False,False,True,False,False,False,False,False,False,1087.3746435013263
1,9,False,False,False,True,False,False,False,False,False,False,False,1194.7196180371352
1,9,False,False,True,False,False,False,False,False,False,False,False,638.7810039787798
1,9,False,True,False,False,False,False,False,False,False,False,False,1970.1389082228118
1,9,True,False,False,False,False,False,False,False,False,False,False,1409.4968074270557
1,10,False,False,False,False,False,False,False,False,False,False,True,1817.479806701031
1,10,False,False,False,False,False,False,False,False,False,True,False,760.7203074742268
1,10,False,False,False,False,False,False,False,False,True,False,False,5624.110931185567
1,10,False,False,False,False,False,False,False,True,False,False,False,318.3326639175258
1,10,False,False,False,False,False,False,True,False,False,False,False,971.1653817010309
1,10,False,False,False,False,False,True,False,False,False,False,False,2090.1417896907215
1,10,False,False,False,False,True,False,False,False,False,False,False,1063.267305670103
1,10,False,False,False,True,False,False,False,False,False,False,False,1195.195119329897
1,10,False,False,True,False,False,False,False,False,False,False,False,637.8662737113402
1,10,False,True,False,False,False,False,False,False,False,False,False,1957.379544072165
1,10,True,False,False,False,False,False,False,False,False,False,False,1394.4582373711341
1,11,False,False,False,False,False,False,False,False,False,False,True,1823.1492862694301
1,11,False,False,False,False,False,False,False,False,False,True,False,759.854468134715
1,11,False,False,False,False,False,False,False,False,True,False,False,5684.908003626942
1,11,False,False,False,False,False,False,False,True,False,False,False,314.8858445595855
1,11,False,False,False,False,False,False,True,False,False,False,False,965.6270756476683
1,11,False,False,False,False,False,True,False,False,False,False,False,2074.212975388601
1,11,False,False,False,False,True,False,False,False,False,False,False,1052.0961733160623
1,11,False,False,False,True,False,False,False,False,False,False,False,1192.0707191709844
1,11,False,False,True,False,False,False,False,False,False,False,False,638.7980453367876
1,11,False,True,False,False,False,False,False,False,False,False,False,1942.4642795336788
1,11,True,False,False,False,False,False,False,False,False,False,False,1383.565621761658
1,12,False,False,False,False,False,False,False,False,False,False,True,1816.671022251309
1,12,False,False,False,False,False,False,False,False,False,True,False,755.9578439790577
1,12,False,False,False,False,False,False,False,False,True,False,False,5713.529813874346
1,12,False,False,False,False,False,False,False,True,False,False,False,313.50486204188485
1,12,False,False,False,False,False,False,True,False,False,False,False,954.2138596858638
1,12,False,False,False,False,False,True,False,False,False,False,False,2084.169457329843
1,12,False,False,False,False,True,False,False,False,False,False,False,1039.500339790576
1,12,False,False,False,True,False,False,False,False,False,False,False,1187.2885117801047
1,12,False,False,True,False,False,False,False,False,False,False,False,640.5066934554974
1,12,False,True,False,False,False,False,False,False,False,False,False,1926.350037958115
1,12,True,False,False,False,False,False,False,False,False,False,False,1384.3267816753926
1,13,False,False,False,False,False,False,False,False,False,False,True,1820.8100549071619
1,13,False,False,False,False,False,False,False,False,False,True,False,753.747949602122
1,13,False,False,False,False,False,False,False,False,True,False,False,5716.0365551724135
1,13,False,False,False,False,False,False,False,True,False,False,False,311.53121671087536
1,13,False,False,False,False,False,False,True,False,False,False,False,952.5329087533156
1,13,False,False,False,False,False,True,False,False,False,False,False,2092.061625464191
1,13,False,False,False,False,True,False,False,False,False,False,False,1044.5074411140583
1,13,False,False,False,True,False,False,False,False,False,False,False,1190.5115047745358
1,13,False,False,True,False,False,False,False,False,False,False,False,641.5434734748011
1,13,False,True,False,False,False,False,False,False,False,False,False,1918.1795015915118
1,13,True,False,False,False,False,False,False,False,False,False,False,1386.1536931034482
